e0_n,e0_F_d_in,e0_p
1.0,0.11558239087524894,487.44982009921085
2.15572115256321,0.11556203963730372,1050.8058877871288
1071.5162148077607,0.09673153730448114,522310.3860351241
1966.6265486227906,0.08096942777355591,958631.7571334003
2715.8806094239585,0.06777571954933719,1323855.514205199
3343.0504257150897,0.05673180801639982,1629569.328265747
3868.0159348704974,0.04748762487754758,1885463.6712097556
4307.44752366432,0.03974961921248503,2099664.5200696182
4675.277423732349,0.03327245661632664,2278963.1386483978
4983.166114993208,0.027850806243569677,2429043.4257835383
5240.8868928157435,0.02331256891686992,2554669.372543393
5456.614750933532,0.019513790151762786,2659825.8781518955
5637.186707379636,0.01633407604480325,2747845.6458185953
5788.335365183405,0.013672480474119451,2821523.031858285
5914.855445422686,0.01144457259812222,2883195.2221973087
6020.760664208929,0.009579674389104011,2934818.7020317223
6109.409640353325,0.008018643509439208,2978030.629496492
6183.614031354523,0.006711969131486825,3014201.5465332367
6245.722622608461,0.005618291200204744,3044476.3681604224
6297.711103546193,0.004702819553939216,3069818.1438355925
6341.22838338023,0.0039365183446698005,3091030.6340575833
6377.6548615030915,0.0032950799472922366,3108786.7142618066
6408.145017150073,0.0027581749929338328,3123649.1351437
6433.666993465852,0.0023087553281865383,3136089.817904871
6455.033409841997,0.0019325114368119816,3146504.873721468
6472.915788075574,0.0016176184077149654,3155221.6357725956
6487.884392415292,0.0013540343866009143,3162518.0792636424
6500.413510579691,0.0011334075818678025,3168625.395657639
6510.901410982363,0.0009487248353378075,3173737.720821099
6519.680531710323,0.0007941322032658168,3178017.1016397006
6527.029212405902,0.0006647283681678187,3181599.214721998
6533.180519382265,0.0005564092362608573,3184597.6682003913
6538.32926996552,0.0004657442449465602,3187107.4257454234
6542.639172923992,0.0003898506261011907,3189208.287166749
6546.246794904426,0.0003263235606059147,3190966.8218517397
6549.266487994715,0.00027314940827984015,3192438.770705056
6551.794013428013,0.0002286418976224302,3193670.8125225627
6553.9095983508605,0.00019138829880209837,3194702.0540123982
6555.681323313267,0.0001601897729208174,3195565.6810264136
6557.164236433779,0.00013407697079200915,3196288.5267600827
6558.405417412569,0.00011222086010226084,3196893.540204781
6559.44427140934,9.392755047867059e-05,3197399.9293985143
6560.3137800829745,7.861626377562139e-05,3197823.771244965
6561.041548697118,6.580089546188399e-05,3198178.521924931
6561.650682535332,5.5074581716839597e-05,3198475.444104724
6562.160520450359,4.609678227011904e-05,3198723.9645046336
6562.587248836295,3.858246888886759e-05,3198931.9731795476
6562.944415516127,3.2293076268053726e-05,3199106.074013341
6563.243359859617,2.7028928030976674e-05,3199251.794379765
6563.493699014242,2.2620674628013203e-05,3199373.822155626
6563.703209378727,1.8931380483881417e-05,3199475.9479450835
6563.878549879865,1.584378772605803e-05,3199561.4176408015
6564.025293414083,1.325976252613655e-05,3199632.947750142
6564.148103972367,1.1097176085001122e-05,3199692.8117346717
6564.250884877204,9.287294310042785e-06,3199742.912268234
6564.33690284298,7.77259322018559e-06,3199784.841710168
6564.408891802875,6.504930644953495e-06,3199819.9327157103
6564.46913980223,5.444016108530998e-06,3199849.3005921515
6564.519561720139,4.556130266095191e-06,3199873.8787469594
6564.561760130591,3.8130531922395214e-06,3199894.44835454
6564.597076237526,3.191167459660487e-06,3199911.6631845077
6564.626632502695,2.670707499218282e-06,3199926.0703806444
6564.651368321181,2.2351313857675116e-06,3199938.1278509134
6564.672069878451,1.8705950813093997e-06,3199948.2188212792
6564.689395137921,1.5655124260383846e-06,3199956.664015888
6564.703894753179,1.3101868921717085e-06,3199963.731850736
6564.716029569573,1.0965033964951283e-06,3199969.6469648033
6564.726185271384,9.176703764250942e-07,3199974.597359822
6564.734684640133,7.680039318377142e-07,3199978.740375589
6564.74179781365,6.427471720263909e-07,3199982.20769074
6564.747750871925,5.379190262299491e-07,3199985.1095079244
6564.752733022683,4.5018771200260325e-07,3199987.538056415
6564.756902615022,3.767648403791571e-07,3199989.57052345
6564.760392172267,3.153167915506844e-07,3199991.2715075007
6564.7633126039955,2.638905449004399e-07,3199992.6950714216
6564.765756731112,2.2085160561862701e-07,3199993.886460744
6564.767802235994,1.848320549575677e-07,3199994.883541731
6564.769514131498,1.5468707350022961e-07,3199995.7180048856
6564.77094682728,1.294585547422814e-07,3199996.416372187
6564.772145859115,1.0834465361364863e-07,3199997.0008400385
6564.773149336166,9.06743010138513e-08,3199997.4899847466
6564.773989152228,7.58858752361682e-08,3199997.8993529347
6564.774691999408,6.350935155534004e-08,3199998.2419556663
6564.775280216498,5.3151363408173905e-08,3199998.528681982
6564.775772498965,4.448270005429896e-08,3199998.768644981
6564.776184493162,3.722784283693604e-08,3199998.969471479
6564.776529293618,3.1156208596698704e-08,3199999.1375443987
6564.7768178592205,2.607482088278913e-08,3199999.27820565
6564.777059361533,2.18221765529377e-08,3199999.3959259083
6564.77726147629,1.8263112611743184e-08,3199999.4944467098
6564.777430627362,1.528451025192384e-08,3199999.5768993697
6564.777572192215,1.279167709702118e-08,3199999.645905132
6564.777690667415,1.0705432528552802e-08,3199999.703655847
6564.777789820032,8.959441740586298e-09,3199999.751987771
6564.77787280146,7.498211400610254e-09,3199999.792437055
6564.777942249757,6.2752876985446186e-09,3199999.8262896137
6564.778000370826,5.251826514760334e-09,3199999.8546207193
6564.778049013147,4.3952778374530175e-09,3199999.87833141
6564.77808972176,3.678434776110317e-09,3199999.898174816
6564.778123791045,3.07850449701839e-09,3199999.9147818824
6564.778152304097,2.5764145991553766e-09,3199999.9286805647
